title,subject,due_date,handout_date,estimated_hours,hours_per_week,hours_per_week_to_be_completed
 Math PSMT, Mathmatical Methods,2023-02-09,2023-03-06,10,2.8,0
 English Literary Article, English,2023-02-14,2023-03-28,8,1.33,1.33
